day,temp_high,temp_low,hist_avg_high,hist_avg_low
SUN 4/28,18,9,20,9
MON 4/29,16,7,20,9
TUE 4/30,16,10,20,9
WED 5/1,16,8,21,9
THU 5/2,21,8,21,9
FRI 5/3,23,12,21,9
SAT 5/4,22,9,21,9
SUN 5/5,18,7,21,10
MON 5/6,8,6,21,10
TUE 5/7,13,6,22,10
WED 5/8,17,3,22,10
THU 5/9,16,8,22,11
FRI 5/10,20,10,22,11
SAT 5/11,24,10,22,11
SUN 5/12,24,12,22,11
MON 5/13,21,12,23,11
TUE 5/14,12,7,23,11
WED 5/15,12,6,23,11
THU 5/16,13,8,23,12
FRI 5/17,17,10,23,12
SAT 5/18,24,8,23,12
SUN 5/19,24,12,23,12
MON 5/20,23,11,23,12
TUE 5/21,22,12,23,12
WED 5/22,23,15,23,12
THU 5/23,19,14,24,12
FRI 5/24,19,12,24,12
SAT 5/25,24,14,24,12
SUN 5/26,26,13,24,12
MON 5/27,21,16,24,12
TUE 5/28,26,14,24,13
WED 5/29,24,15,24,13
THU 5/30,19,12,24,13
FRI 5/31,16,11,24,13
SAT 6/1,17,13,24,13
